ts	phase	decision	why	evidence	result
2026-09-07T13:40:20.1789760Z	pickup	Use exact combined candidate on upstream branch	Existing untracked work must remain untouched	c5c45cc13a6933914c13623af86ac0577399921b	branch switched and SHA verified
2026-09-07T13:40:20.1819746Z	diagnosis	Treat six opening-hours hydration failures as release blockers	Server U+202F differs from Chromium U+0020	.audit/pr864/ci-34117369033.log	78 passed; 6 failed; 1 skipped
2026-09-07T13:40:20.1819746Z	fix	Normalize nonbreaking spaces in canonical formatTime	Same mismatch reproduced in live preview and pinned Node probe	utils/timezone.ts:72	direct probe and four formatter tests pass; runtime qualification pending
2026-09-07T13:46:55.1467703Z	verification	Correlate failed preview navigation with Worker invocation	Do not retry without server evidence	.audit/pr864/observability.json	same request returned HTTP 200 before hydration failed
2026-09-07T13:46:55.1507703Z	toolchain	Invoke Corepack JS through pinned Node directly	Windows corepack.cmd selects its bundled older Node	.audit/pr864/build.log	setup build and quality rerun successfully with Node 24.18.1
2026-09-07T13:46:55.1507703Z	metadata	Correct optional availability and AI import disclosures	Descriptions must match executor side effects	server/utils/mcp-executor/products.ts:139;server/utils/chowbot-media.ts:312	catalog and submission generators/checks pass
2026-09-07T13:46:55.1507703Z	verification	Run existing affected browser journeys on local production Worker	Require real SSR and Chromium comparison	.audit/pr864/tenant-tests.log	9 passed; remote qualification pending
2026-09-07T13:49:19.9490750Z	verification	Repeat Thai CMS verification after canonical credential setup	Initial runner had no E2E_TEST_PASSWORD and made no application requests	.audit/pr864/localization-tests.log	2 setup failures; 8 not run; corrected setup in progress
2026-09-07T13:52:43.0096745Z	audit	Add executable evidence for final checks	Earlier rows pointed to source rather than saved execution output	.audit/pr864/check-batch.mjs;.audit/pr864/final-checks.log;.audit/pr864/build.log;.audit/pr864/quality.log	pinned Node 24.18.1; formatter lint catalog submission and build pass; original browser reproduction is in chat and CI log
2026-09-07T13:54:22.8844810Z	verification	Complete Thai CMS rerun with fixture credentials	Canonical setup supplied credential to the test process	.audit/pr864/localization-tests.log;.audit/pr864/localization-setup-failure.log	10 passed; earlier setup failure retained separately
2026-09-07T13:54:22.8869894Z	review	Accept bounded independent batch review	Reviewer found no code defect; repaired missing evidence pointers	gpt-5.6-sol review in active chat;.audit/pr864/final-checks.log	no code flags; preview pending
2026-09-07T13:54:22.8869894Z	delivery	Commit and push checked four-file batch	Fix proven hydration defect and misleading MCP descriptions	e841e765;https://github.com/paulchrisluke/krabiclaw/actions/runs/34129872569	new preview CI started; watcher interval 1800 seconds
2026-09-07T14:14:41.8439178Z	verification	Retain initial preview timeout and missed inspection order	Independent reviewer retried before required Observability check	.audit/pr864/independent-preview-tests.log;.audit/pr864/independent-preview-timeout-observability.json	23 of 24 initial cases pass; failed case passes retry; matching-window Worker cancellation found retrospectively; exact attribution uncertain
2026-09-07T23:31:18.6871918Z	frame	Restore Draft and post required inventory	Owner explicitly holds merge during retirement	https://github.com/paulchrisluke/krabiclaw/pull/864#issuecomment-5576660591	implementation in progress
2026-09-07T23:31:18.7804129Z	preflight	Use pinned Node24.18.1 and immutable dependency install	Shell Node is older than repository pin	.audit/pr864/retirement-install.log;.audit/pr864/retirement-schema-preflight.log	install and unchanged schema drift pass
2026-09-07T23:31:18.7824113Z	removal	Remove credit charging and keep supported provider operations	Places and WhatsApp have independent workflows; usage ledger retains MCP and scheduled callers	server/utils/usage-metering.ts;server/utils/whatsapp.ts	local changes; runtime pending
2026-09-07T23:54:52.7491892Z	schema	Regenerate unreleased baseline and declare retired grants	Credit retirement removes the only quota-grant consumers	.audit/pr864/credit-schema.patch;.audit/pr864/retirement-migrations.log	52 tables;16 migration tests pass;new remote qualification pending
2026-09-07T23:54:52.7831997Z	verification	Preserve original local transport failures and retry isolated	Miniflare localhost failures occurred under concurrent Worker load	.audit/pr864/retirement-d1.log;.audit/pr864/retirement-d1-serial.log;.audit/pr864/retirement-d1-isolated.log	isolated2of2pass;final whole-suite serial run pending
2026-09-07T23:54:52.7841994Z	verification	Validate compiled formatter in both JS runtimes	Earlier four formatter unit tests did not cover formatTime	.audit/pr864/verify-time-format.mjs;.audit/pr864/time-format-runtime.json	16exact Node Chromium comparisons pass across4locales including9digit fractions
2026-09-07T23:54:52.7851995Z	contract	Regenerate catalog and submission and compare submitted schemas	Owner requires actual post-retirement contract diff	.audit/pr864/retirement-contract-diff.json;.audit/pr864/retired-api-runtime.json	96registry95exposed;2removed;35retained schema changes;0missing output schemas;retired APIs404
2026-09-07T23:54:52.7851995Z	verification	Run affected real Worker browser journeys	Source checks cannot establish retained workflow behavior	.audit/pr864/retirement-browser.log	70pass1skip;HTTPS-only private_key_jwt remains for remote;build predates final provenance and WhatsApp cleanup
2026-09-07T23:54:52.7862026Z	verification	Retain billing provider failure as fixture limitation	Canonical paid fixture generates a nonexistent Stripe customer	seed-definitions/billing-sql.ts:15;.tmp/pr864-worker.log	cus-org-demo resource_missing;no hand patch or fallback
2026-09-07T23:54:52.7872007Z	review	Remove remaining WhatsApp credit-accounting result state	Independent reviewer found dead caller branches after charging removal	server/utils/whatsapp.ts;server/utils/notifications.ts;server/utils/domain-notifications.ts	targeted lint passes;final typecheck and build pending
2026-09-07T23:54:52.7882017Z	verification	Complete root quality on integrated retirement	Correct source checks after canonical route deletion	.audit/pr864/retirement-quality-final.log	exit0 before final WhatsApp cleanup
2026-09-07T23:58:02.3846191Z	rehearsal	Export live Epoch5 and transform then verify current baseline	Old53table evidence no longer qualifies retired credit schema	.audit/pr864/retirement-production-export.log;.audit/pr864/retirement-production-transform.log;.audit/pr864/retirement-production-verify.log;docs/database/epoch-6-cutover.md	52tables42400retained rows;13retired grants counted and hashed;schema/FK/invariants pass;no freeze or binding change
2026-09-08T00:12:16.7741995Z	verification	Pass final build, typecheck and unit tests	Final product and WhatsApp changes require fresh checks	.audit/pr864/retirement-build-final.log;.audit/pr864/retirement-typecheck-final.log;.audit/pr864/retirement-unit-final.log	build and typecheck exit 0; 185 unit tests pass
2026-09-08T00:12:16.8046680Z	diagnosis	Fix price-test runtime cleanup before setup	Failed setup leaked Miniflare and hung the child process	.audit/pr864/miniflare-diagnosis.md;tests/integration/product-price-d1.test.ts	registered TestContext teardown before first await; original errors remain visible
2026-09-08T00:12:16.8056675Z	verification	Capture network and listener evidence for affected D1 cases	Original loopback failure remains unexplained; avoid blind retries	.audit/pr864/run-d1-diagnostic.mjs;.audit/pr864/d1-net-diagnostic.log;.audit/pr864/d1-net-sockets.log	5 of 5 pass after lifecycle fix; full suite rerun pending
2026-09-08T00:12:16.8066671Z	staging	Prepare fresh unreleased staging candidate through canonical epoch flow	Prior 53-table candidate cannot receive the changed baseline	docs/database/epoch-6-cutover.md;.audit/pr864/retirement-staging-create.log;.audit/pr864/retirement-staging-baseline.log;.audit/pr864/retirement-staging-import.log	52 tables and 2740 fixture rows match remote re-export; schema, FKs, integrity and 9 invariants pass; no Worker deploy
2026-09-08T00:12:16.8076660Z	review	Skip unavailable optional review integrations	CodeRabbit remains signed out and full OpenAI developer plugin is unavailable	docs/chatgpt-submission-review.md;.audit/pr864/retirement-inventory.md	independent source review and local submission skill used; no optional tool claimed as passed
