table	column	final_disposition	owner	responsibility	source_type	source_not_null	source_default	source_pk	production_nulls_rows	staging_nulls_rows	production_storage_types	target_declaration	source_checks	target_checks	source_foreign_keys	target_foreign_keys	source_indexes	target_index_declarations	column_consumer_evidence	canonical_readers_writers	retention	transfer
account	id	retain exact typed value	Better Auth	Supported provider-owned account schema/adapter contract; full pinned 18-table census proves indirect consumers	TEXT	1		1	0/19	0/0	text:19	id: text().primaryKey(),					sqlite_autoindex_account_1 UNIQUE(id)	id: text().primaryKey(),	Pinned Better Auth 18-table schema census and supported adapter/plugin contract	auth.ts; better-auth-stripe.ts; member-access.ts	Preserve supported provider state/issued credentials exactly; provider expiry/revocation and existing FK lifecycle remain authoritative	Copy exact typed source value; typed logical hash parity required
account	accountId	retain exact typed value	Better Auth	Supported provider-owned account schema/adapter contract; full pinned 18-table census proves indirect consumers	TEXT	1		0	0/19	0/0	text:19	accountId: text().notNull(),							Pinned Better Auth 18-table schema census and supported adapter/plugin contract	auth.ts; better-auth-stripe.ts; member-access.ts	Preserve supported provider state/issued credentials exactly; provider expiry/revocation and existing FK lifecycle remain authoritative	Copy exact typed source value; typed logical hash parity required
account	providerId	retain exact typed value	Better Auth	Supported provider-owned account schema/adapter contract; full pinned 18-table census proves indirect consumers	TEXT	1		0	0/19	0/0	text:19	providerId: text().notNull(),							Pinned Better Auth 18-table schema census and supported adapter/plugin contract	auth.ts; better-auth-stripe.ts; member-access.ts	Preserve supported provider state/issued credentials exactly; provider expiry/revocation and existing FK lifecycle remain authoritative	Copy exact typed source value; typed logical hash parity required
account	userId	retain exact typed value	Better Auth	Supported provider-owned account schema/adapter contract; full pinned 18-table census proves indirect consumers	TEXT	1		0	0/19	0/0	text:19	userId: text().notNull().references(() => user.id, { onDelete: "cascade" } ),			user.id ON DELETE CASCADE	group 0 userId -> user.id ON DELETE CASCADE	account_userId_idx(userId)	index("account_userId_idx").on(table.userId),	Pinned Better Auth 18-table schema census and supported adapter/plugin contract	auth.ts; better-auth-stripe.ts; member-access.ts	Preserve supported provider state/issued credentials exactly; provider expiry/revocation and existing FK lifecycle remain authoritative	Copy exact typed source value; typed logical hash parity required
account	accessToken	retain exact typed value	Better Auth	Supported provider-owned account schema/adapter contract; full pinned 18-table census proves indirect consumers	TEXT	0		0	3/19	0/0	null:3,text:16	accessToken: text(),							Pinned Better Auth 18-table schema census and supported adapter/plugin contract	auth.ts; better-auth-stripe.ts; member-access.ts	Preserve supported provider state/issued credentials exactly; provider expiry/revocation and existing FK lifecycle remain authoritative	Copy exact typed source value; typed logical hash parity required
account	refreshToken	retain exact typed value	Better Auth	Supported provider-owned account schema/adapter contract; full pinned 18-table census proves indirect consumers	TEXT	0		0	19/19	0/0	null:19	refreshToken: text(),							Pinned Better Auth 18-table schema census and supported adapter/plugin contract	auth.ts; better-auth-stripe.ts; member-access.ts	Preserve supported provider state/issued credentials exactly; provider expiry/revocation and existing FK lifecycle remain authoritative	Copy exact typed source value; typed logical hash parity required
account	idToken	retain exact typed value	Better Auth	Supported provider-owned account schema/adapter contract; full pinned 18-table census proves indirect consumers	TEXT	0		0	3/19	0/0	null:3,text:16	idToken: text(),							Pinned Better Auth 18-table schema census and supported adapter/plugin contract	auth.ts; better-auth-stripe.ts; member-access.ts	Preserve supported provider state/issued credentials exactly; provider expiry/revocation and existing FK lifecycle remain authoritative	Copy exact typed source value; typed logical hash parity required
account	expiresAt	remove/project obsolete field	Better Auth	Supported provider-owned account schema/adapter contract; full pinned 18-table census proves indirect consumers	INTEGER	0		0	19/19	0/0	null:19	[removed]							Pinned Better Auth 18-table schema census and supported adapter/plugin contract	auth.ts; better-auth-stripe.ts; member-access.ts	Preserve supported provider state/issued credentials exactly; provider expiry/revocation and existing FK lifecycle remain authoritative	Unsupported obsolete provider field; all values NULL
account	accessTokenExpiresAt	retain exact typed value	Better Auth	Supported provider-owned account schema/adapter contract; full pinned 18-table census proves indirect consumers	INTEGER	0		0	3/19	0/0	integer:16,null:3	accessTokenExpiresAt: integer({ mode: "timestamp" }),							Pinned Better Auth 18-table schema census and supported adapter/plugin contract	auth.ts; better-auth-stripe.ts; member-access.ts	Preserve supported provider state/issued credentials exactly; provider expiry/revocation and existing FK lifecycle remain authoritative	Copy exact typed source value; typed logical hash parity required
account	refreshTokenExpiresAt	retain exact typed value	Better Auth	Supported provider-owned account schema/adapter contract; full pinned 18-table census proves indirect consumers	INTEGER	0		0	19/19	0/0	null:19	refreshTokenExpiresAt: integer({ mode: "timestamp" }),							Pinned Better Auth 18-table schema census and supported adapter/plugin contract	auth.ts; better-auth-stripe.ts; member-access.ts	Preserve supported provider state/issued credentials exactly; provider expiry/revocation and existing FK lifecycle remain authoritative	Copy exact typed source value; typed logical hash parity required
