table	production_rows	staging_rows	source_columns	final_disposition	owner	responsibility	canonical_readers_writers	direct_sql_boundaries	target_checks	retention
account	19	0	14	retain domain table	Better Auth	Supported provider-owned account schema/adapter contract; full pinned 18-table census proves indirect consumers	auth.ts; better-auth-stripe.ts; member-access.ts	scripts/backup-kikuzuki.mjs:66; scripts/verify-seeded-d1.ts:26; scripts/verify-seeded-d1.ts:28; scripts/provision-development-auth.ts:99; scripts/provision-development-auth.ts:100		Preserve supported provider state/issued credentials exactly; provider expiry/revocation and existing FK lifecycle remain authoritative
availability_overrides	0	0	14	retain domain table	Booking availability	Explicit owner/date/slot exception and capacity; not another recurring schedule	availability.ts	server/utils/availability.ts:155; server/utils/availability.ts:246; server/utils/availability.ts:271; server/utils/availability.ts:344; server/utils/availability.ts:405	CONSTRAINT "availability_overrides_owner_check" CHECK(   (owner_type = 'location' AND location_id IS NOT NULL AND experience_id IS NULL)   OR (owner_type = 'experience' AND location_id IS NULL AND experience_id IS NOT NULL)  ); CONSTRAINT "availability_overrides_status_check" CHECK(status IN ('open', 'closed')); CONSTRAINT "availability_overrides_capacity_check" CHECK(capacity_override IS NULL OR capacity_override >= 0)	Preserve current domain records and existing FK deletion lifecycle; no new age purge; explicit polymorphic owner cleanup where applicable
blog_posts	26	22	28	retain domain table	Publishing	Article metadata/publication; rich body belongs to content_documents	platform-content.ts; blog-publishing.ts	seed-definitions/pottery-house.ts:1245; seed-definitions/demo.ts:1587; scripts/audit-orphaned-media-placements.mjs:8; scripts/audit-orphaned-media-placements.mjs:25; scripts/epoch5-data.mjs:79; server/utils/blog-publishing.ts:10; server/utils/blog-publishing.ts:26; server/utils/blog-publishing.ts:46; server/utils/blog-publishing.ts:72; server/utils/blog-publishing.ts:108; server/utils/content-documents.ts:15; server/utils/content-documents.ts:31; server/utils/social-card.ts:160; server/utils/platform-llm.ts:280; server/utils/platform-llm.ts:296; server/utils/platform-llm.ts:332; server/utils/platform-llm.ts:347; server/utils/platform-content.ts:616; server/utils/platform-content.ts:778; server/utils/platform-content.ts:812; server/utils/platform-content.ts:863; server/utils/platform-content.ts:930; server/utils/platform-content.ts:1012; server/utils/platform-content.ts:1105; server/utils/platform-content.ts:1154; server/utils/platform-content.ts:1171; server/utils/platform-content.ts:1180; server/utils/platform-content.ts:1220; server/utils/platform-content.ts:1268; server/utils/platform-content.ts:1336; server/utils/platform-content.ts:1341; server/utils/platform-content.ts:1377; server/utils/platform-content.ts:1392; server/utils/platform-content.ts:1406; server/utils/platform-content.ts:1458; server/utils/public-tenant-pages.ts:146; server/utils/public-search.ts:427; server/utils/public-search.ts:472; server/utils/public-search.ts:869; server/utils/public-page.ts:607; server/utils/public-page.ts:622; server/utils/public-locale-representations.ts:49; server/utils/professional-services.ts:195; server/plugins/sitemap.ts:77; server/plugins/sitemap.ts:183; server/plugins/sitemap.ts:245; server/api/public/blog.get.ts:16; server/api/public/sites/[siteId]/blog.get.ts:17	CONSTRAINT "blog_posts_tags_json_check" CHECK(tags_json IS NULL OR (json_valid(tags_json) AND json_type(tags_json) IS 'array')); CONSTRAINT "blog_posts_status_check" CHECK(status IN ('published', 'scheduled')); CONSTRAINT "blog_posts_visibility_check" CHECK(visibility IN ('public', 'unlisted'))	Preserve current domain records and existing FK deletion lifecycle; no new age purge; explicit polymorphic owner cleanup where applicable
booking_policies	11	0	18	retain domain table	Booking policy	Explicit site/location/experience notice/cancellation/deposit/accessibility policy	booking-policies.ts	server/utils/booking-policies.ts:119; server/utils/booking-policies.ts:613; server/utils/booking-policies.ts:638; server/utils/copy-paste.ts:412; server/utils/copy-paste.ts:421; server/utils/copy-paste.ts:431; server/utils/copy-paste.ts:435; server/utils/copy-paste.ts:600; server/utils/copy-paste.ts:610; server/utils/experiences.ts:637	CONSTRAINT "booking_policies_reschedule_allowed_check" CHECK(reschedule_allowed IS NULL OR reschedule_allowed IN (0, 1)); CONSTRAINT "booking_policies_deposit_required_check" CHECK(deposit_required IS NULL OR deposit_required IN (0, 1)); CONSTRAINT "booking_policies_accessibility_contact_required_check" CHECK(accessibility_contact_required IS NULL OR accessibility_contact_required IN (0, 1)); CONSTRAINT "booking_policies_scope_shape_check" CHECK((scope_type = 'site' AND location_id IS NULL AND experience_id IS NULL) OR (scope_type = 'location' AND location_id IS NOT NULL AND experience_id IS NULL) OR (scope_type = 'experience' AND location_id IS NULL AND experience_id IS NOT NULL)); CONSTRAINT "booking_policies_policy_type_check" CHECK(policy_type IN ('reservation', 'experience')); CONSTRAINT "booking_policies_scope_type_check" CHECK(scope_type IN ('site', 'location', 'experience')); CONSTRAINT "booking_policies_reservation_location_scope_check" CHECK(policy_type != 'reservation' OR (scope_type = 'location' AND location_id IS NOT NULL AND experience_id IS NULL))	Preserve current domain records and existing FK deletion lifecycle; no new age purge; explicit polymorphic owner cleanup where applicable
business_locations	13	10	48	retain domain table	Location	Tenant contact/provider facts, timezone, machine hours and team scope	location-management.ts; google-places.ts	seed-definitions/pottery-house.ts:997; seed-definitions/kikuzuki.ts:753; seed-definitions/demo.ts:1342; scripts/backup-kikuzuki.mjs:82; scripts/backup-kikuzuki.mjs:114; scripts/client-import.mjs:477; scripts/generate-demo-seed.ts:110; server/utils/availability.ts:124; server/utils/availability.ts:311; server/utils/availability.ts:317; server/utils/availability.ts:403; server/utils/dashboard-notification-links.ts:42; server/utils/dashboard-locations-resource.ts:48; server/utils/dashboard-home.ts:113; server/utils/dashboard-home.ts:134; server/utils/dashboard-events.ts:55; server/utils/dashboard-editor-resources.ts:58; server/utils/dashboard-context.ts:463; server/utils/dashboard-context.ts:520; server/utils/dashboard-booking-details.ts:128; server/utils/dashboard-booking-details.ts:146; server/utils/dashboard-booking-details.ts:203; server/utils/dashboard-agenda.ts:276; server/utils/dashboard-agenda.ts:330; server/utils/copy-paste.ts:61; server/utils/copy-paste.ts:104; server/utils/contact-resolution.ts:10; server/utils/contact-assignment.ts:22; server/utils/dashboard-route-capability.ts:50; server/utils/experiences.ts:742; server/utils/experiences.ts:778; server/utils/google-places.ts:206; server/domain/guest-threads/repository.ts:194; server/domain/guest-threads/repository.ts:331; server/domain/guest-threads/repository.ts:453; server/domain/guest-threads/booking-changes.ts:69; server/domain/guest-threads/booking-changes.ts:144; server/domain/guest-threads/adapters/reservation.ts:61; server/domain/guest-threads/adapters/experience-booking.ts:63; server/domain/guest-threads/adapters/contact.ts:51; server/tasks/google-places-sync.ts:76; server/utils/module-content-guard.ts:46; server/utils/member-access.ts:60; server/utils/member-access.ts:362; server/utils/member-access.ts:409; server/utils/member-access.ts:514; server/utils/member-access.ts:553; server/utils/member-access.ts:579; server/utils/member-access.ts:596; server/utils/mcp-workflows.ts:61; server/utils/mcp-workflows.ts:67; server/utils/mcp-workflows.ts:189; server/utils/mcp-executor/shared.ts:909; server/utils/mcp-executor/index.ts:338; server/utils/mcp-context.ts:121; server/api/sites/[siteId]/setup-progress.get.ts:88; server/api/sites/[siteId]/locations.get.ts:47; server/utils/transfer-onboarding-context.ts:137; server/utils/location-management.ts:322; server/utils/location-management.ts:328; server/utils/location-management.ts:426; server/utils/location-management.ts:487; server/utils/location-management.ts:759; server/utils/location-management.ts:849; server/utils/location-management.ts:900; server/utils/location-access.ts:86; server/utils/location-access.ts:179; server/utils/product-management.ts:305; server/utils/social-card.ts:143; server/utils/social-card.ts:149; server/utils/social-card.ts:155; server/utils/social-card.ts:166; server/utils/social-card.ts:173; server/utils/site-transfer.ts:167; server/utils/site-transfer.ts:178; server/utils/site-transfer.ts:306; server/utils/site-transfer.ts:325; server/utils/post-management.ts:132; server/utils/post-management.ts:278; server/utils/post-management.ts:307; server/utils/post-management.ts:789; server/utils/post-management.ts:821; server/utils/site-template.ts:29; server/utils/site-template.ts:38; server/utils/site-settings.ts:384; server/utils/pageview-tracking.ts:65; server/utils/onboarding-checklist.ts:77; server/utils/site-config.ts:63; server/utils/review-requests.ts:135; server/utils/review-requests.ts:170; server/utils/review-management.ts:14; server/utils/public-tenant-pages.ts:125; server/utils/public-shell-query.ts:51; server/utils/public-products.ts:90; server/utils/public-products.ts:135; server/utils/public-page.ts:387; server/utils/public-page.ts:388; server/utils/public-page.ts:547; server/utils/public-locale-representations.ts:26; server/utils/public-locale-representations.ts:32; server/utils/professional-services.ts:140; server/utils/professional-services.ts:233; server/api/admin/overview.get.ts:25; server/api/sites/[siteId]/locations/[locationId].get.ts:49; server/utils/notifications.ts:503; server/plugins/sitemap.ts:221; server/plugins/sitemap.ts:231; server/api/integrations/google-places/sync.post.ts:24; server/api/admin/analytics.get.ts:22; server/api/dashboard/locations/add.post.ts:40; server/api/dashboard/organizations/members/[memberId]/role.post.ts:69; server/api/dashboard/onboarding/drafts/[draftId]/commit.post.ts:132; server/api/editor/sites/[siteId]/experience-bookings.get.ts:28; server/api/editor/sites/[siteId]/booking-policy.get.ts:23; server/api/editor/sites/[siteId]/booking-policy/preview.post.ts:24; server/api/public/sites/[siteId]/reservations.post.ts:80; server/api/editor/sites/[siteId]/booking-policy.patch.ts:26; server/api/editor/sites/[siteId]/reservation-submissions.get.ts:20; server/api/public/sites/[siteId]/reservations/[reservationId]/cancel.post.ts:90; server/api/public/sites/[siteId]/reservations/availability.get.ts:31; server/api/public/sites/[siteId]/locations.get.ts:81; server/api/public/sites/[siteId]/locations/[slug].get.ts:44; server/api/public/sites/[siteId]/locations/[slug]/reviews.get.ts:18; server/api/public/sites/[siteId]/locations/[slug]/reviews/[reviewId]/helpful.post.ts:18; server/api/public/sites/[siteId]/locations/[slug]/qa.get.ts:15; server/api/public/sites/[siteId]/locations/[slug]/photos.get.ts:17; server/api/public/sites/[siteId]/locations/[slug]/media.get.ts:16; server/api/editor/sites/[siteId]/experiences/[experienceId]/index.patch.ts:78; server/api/editor/sites/[siteId]/experiences/[experienceId]/bookings.get.ts:28; server/api/editor/sites/[siteId]/experiences/index.post.ts:33	CONSTRAINT "business_locations_address_check" CHECK(address IS NULL OR (json_valid(address) AND json_type(address) IS 'object')); CONSTRAINT "business_locations_categories_check" CHECK(categories IS NULL OR (json_valid(categories) AND json_type(categories) IS 'array')); CONSTRAINT "business_locations_feature_overrides_check" CHECK(feature_overrides IS NULL OR (json_valid(feature_overrides) AND json_type(feature_overrides) IS 'object')); CONSTRAINT "business_locations_status_check" CHECK(status IN ('active', 'inactive', 'sync_error')); CONSTRAINT "business_locations_opening_hours_check" CHECK(opening_hours IS NULL OR (json_valid(opening_hours) AND json_type(opening_hours) IS 'object' AND json_type(opening_hours, '$.periods') IS 'array')); CONSTRAINT "business_locations_special_hours_check" CHECK(special_hours IS NULL OR (json_valid(special_hours) AND json_type(special_hours) IS 'array'))	Preserve current domain records and existing FK deletion lifecycle; no new age purge; explicit polymorphic owner cleanup where applicable
canary_runs	188	0	8	retain domain table	Operations qualification	Script-written pass/failure evidence; no runtime SQL reader required	scripts/canary-prod.mjs; scripts/canary-provider-status.mjs; scripts/canary-notifications.mjs	scripts/canary-provider-status.mjs:50; scripts/canary-prod.mjs:164; scripts/canary-prod.mjs:195; scripts/canary-notifications.mjs:227; scripts/canary-notifications.mjs:301	CONSTRAINT "canary_runs_run_type_check" CHECK(run_type IN ('auth', 'notifications')); CONSTRAINT "canary_runs_status_check" CHECK(status IN ('pass', 'fail')); CONSTRAINT "canary_runs_details_json_check" CHECK(details_json IS NULL OR (json_valid(details_json)))	Preserve ledger/history exactly, including historical provider/source/event vocabulary; no new age purge
chowbot_channel_state	3	0	8	retain domain table	WhatsApp interaction	Pending confirmation and last inbound ID; three unused selections retire	chowbot-conversations.ts; api/whatsapp/webhook.post.ts	scripts/reset-e2e-artifacts.ts:231; server/utils/chowbot-conversations.ts:34; server/utils/chowbot-conversations.ts:55; server/utils/site-transfer.ts:310	CONSTRAINT "chowbot_channel_state_pending_confirmation_check" CHECK(pending_confirmation IS NULL OR (json_valid(pending_confirmation) AND json_type(pending_confirmation) IS 'object'))	Preserve current domain records and existing FK deletion lifecycle; no new age purge; explicit polymorphic owner cleanup where applicable
chowbot_conversations	13	0	10	retain immutable historical table	Historical ChowBot transcript	13 retained historical conversation headers; no active reader/writer after cleanup	scripts/epoch5-data.mjs			Preserve immutable historical rows exactly; no new active consumers/history model; existing owner/user deletion cascades
chowbot_messages	42	0	13	retain immutable historical table	Historical ChowBot transcript	42 retained messages including errors/tool calls; obsolete dedupe reader retires	scripts/epoch5-data.mjs		CONSTRAINT "chowbot_messages_tool_calls_check" CHECK(tool_calls IS NULL OR (json_valid(tool_calls)))	Preserve immutable historical rows exactly; no new active consumers/history model; existing owner/user deletion cascades
contact_submissions	6	1	13	retain domain table	Guest contact	Durable submitted contact/consent/association facts	api/public/sites/[siteId]/contact.post.ts; domain/guest-threads/adapters/contact.ts	seed-definitions/demo.ts:1727; scripts/canary-prod.mjs:69; scripts/canary-prod.mjs:146; scripts/reset-e2e-artifacts.ts:251; scripts/reset-e2e-artifacts.ts:258; scripts/reset-e2e-artifacts.ts:259; server/domain/guest-threads/repository.ts:334; server/domain/guest-threads/repository.ts:457; server/domain/guest-threads/adapters/contact.ts:48; server/api/whatsapp/webhook.post.ts:149; server/api/whatsapp/webhook.post.ts:181; server/utils/mcp-workflows.ts:163; server/utils/submission-messages.ts:95; server/api/public/sites/[siteId]/contact.post.ts:77		Preserve current domain records and existing FK deletion lifecycle; no new age purge; explicit polymorphic owner cleanup where applicable
